,City,Temp,Wind,Clouds,Humidity,Latitude,Longitude
0,Sao Gabriel da Cachoeira,76.11,2.73,0,90,-0.13,-67.09
1,Riohacha,80.25,14.03,0,79,11.54,-72.91
2,Vila Velha,82.0,6.93,75,88,-3.71,-38.6
3,Usolye,21.0,8.01,80,80,59.42,56.68
4,Rio Gallegos,50.0,6.93,90,66,-51.62,-69.22
5,Tuatapere,69.49,14.81,0,60,-46.13,167.69
6,Castro,55.4,20.8,90,100,-42.48,-73.76
7,Norman Wells,19.4,3.36,20,52,65.28,-126.83
8,Mataura,80.92,17.05,0,34,-46.19,168.86
9,Biak,88.03,1.39,0,70,-0.91,122.88
10,Hami,46.36,13.35,80,48,42.84,93.51
11,Rio Grande,73.23,7.99,20,98,-32.03,-52.1
12,Portland,37.99,19.46,75,61,45.52,-122.67
13,Dordrecht,48.2,11.41,92,93,51.8,4.68
14,Ciro Marina,58.83,4.18,8,92,39.37,17.13
15,Ushuaia,41.0,9.17,40,75,-54.81,-68.31
16,Mar del Plata,61.57,25.55,24,53,-46.43,-67.52
17,Nanortalik,27.1,43.33,80,100,60.14,-45.24
18,Muravlenko,-1.16,9.22,0,67,63.79,74.5
19,Myitkyina,61.48,2.39,100,100,25.38,97.4
20,Avarua,80.6,5.82,76,65,-21.21,-159.78
21,Kihei,77.0,17.22,75,64,20.76,-156.45
22,Healdsburg,53.6,20.29,90,100,38.61,-122.87
23,Tarakan,84.97,2.73,68,83,3.3,117.63
24,Rikitea,81.01,15.14,92,97,-23.12,-134.97
25,Narsaq,35.6,13.87,64,27,60.91,-46.05
26,Tuktoyaktuk,3.2,3.36,20,84,69.44,-133.03
27,Saint-Pierre,43.0,19.46,0,81,48.95,4.24
28,New Norfolk,57.2,14.99,75,44,-42.78,147.06
29,Atuona,80.7,15.26,92,100,-9.8,-139.03
30,Busselton,75.99,15.82,64,26,-33.64,115.35
31,Eshowe,61.35,2.06,20,94,-28.89,31.46
32,Naze,73.09,4.97,36,94,5.43,7.07
33,Lazaro Cardenas,61.0,8.05,20,31,28.39,-105.62
34,Ayagoz,19.23,3.62,20,79,47.96,80.43
35,Saskylakh,-1.93,8.43,80,69,71.97,114.09
36,Vaini,64.4,2.28,0,93,15.34,74.49
37,Lundazi,62.02,3.4,8,92,-12.29,33.17
38,Maceio,77.0,1.12,0,83,-9.67,-35.74
39,Bredasdorp,66.99,8.43,0,88,-34.53,20.04
40,Kahului,77.0,17.22,75,64,20.89,-156.47
41,Omsukchan,-2.33,4.52,76,65,62.53,155.8
42,Punta Alta,73.4,5.82,0,88,-27.46,-55.82
43,Bilibino,2.08,2.95,88,74,68.06,166.44
44,Cabra,57.0,5.82,92,100,37.47,-4.43
45,Ekhabi,12.43,11.01,8,100,53.51,142.97
46,Mwinilunga,72.37,2.28,92,67,-11.73,24.43
47,Volovo,34.21,20.18,68,90,53.55,38.01
48,Hambantota,77.0,3.36,40,100,6.12,81.12
49,Hilo,71.01,8.05,90,88,19.71,-155.08
50,Albany,19.99,12.75,90,61,42.65,-73.75
51,Teknaf,68.95,3.74,92,98,20.86,92.31
52,Husavik,7.0,5.08,56,79,50.56,-96.99
53,La Palma,68.01,2.62,64,98,5.36,-74.39
54,Punta Arenas,42.8,6.93,75,100,-53.16,-70.91
55,Cape Town,64.99,6.93,0,88,-33.93,18.42
56,Hobart,57.2,14.99,75,44,-42.88,147.33
57,Arraial do Cabo,79.53,11.34,44,94,-22.97,-42.02
58,Hermiston,24.01,2.84,20,67,45.84,-119.29
59,Port Alfred,68.0,3.0,0,95,-33.59,26.89
60,Georgetown,77.77,8.32,68,77,6.8,-58.16
61,San Patricio,76.87,5.41,8,76,-26.98,-56.83
62,Mooresville,17.01,11.68,40,61,39.61,-86.37
63,Esperance,75.2,6.93,20,83,10.24,-61.45
64,Jamestown,62.38,13.02,20,79,-33.21,138.6
